date_time_(UTC),channel,duration,https://archive.org/details/,text
10/17/2020 0:00,MSNBCW,9,MSNBCW_20201016_230000_The_ReidOut/start/3600,TONIGHT IUET'\u201c MMSNBC
10/17/2020 0:01,CNNW,4,CNNW_20201017_000000_Anderson_Cooper_360/start/60,THIS IS NOT NORMAL. NOT EVEN CLOSE.
10/17/2020 0:03,FOXNEWSW,3,FOXNEWSW_20201017_000000_Tucker_Carlson_Tonight/start/180,NO HOAX '_|'HE HUNTER BIDEN PTOP IS REAL. . \u20141T'toni2ht am.
10/17/2020 0:03,MSNBCW,6,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/180,I U.S. DAILY CORONAVIRUS CASES HIT HIGHEST LEVEL SINCE JULY I
10/17/2020 0:04,BBCNEWS,7,BBCNEWS_20201017_000000_BBC_News/start/240,Azerbaijan Armenia Con\ufb02ict. Fighting continues over disputed Nagorna Karabakh region
10/17/2020 0:05,BBCNEWS,7,BBCNEWS_20201017_000000_BBC_News/start/300,Azerbaijan Armenia Con\ufb02ict. Both sides accuse the other of targeting civilians
10/17/2020 0:05,MSNBCW,13,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/300,"I TRUMP: \""WE ARE ROUNDING THE TURN. I SAY THAT ALL THE TIME.\"" '"
10/17/2020 0:06,BBCNEWS,4,BBCNEWS_20201017_000000_BBC_News/start/360,Azerbaijan Armenia Con\ufb02ict. More than 2O buildings reportedly destroyed
10/17/2020 0:06,CNNW,6,CNNW_20201017_000000_Anderson_Cooper_360/start/360,RUDY GIULIANI'S DAUGHTER ENDORSES BIDEN
10/17/2020 0:06,MSNBCW,8,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/360,"I CHRIS CHRISTIE ON NOT WEARING A MASK: \""IT WAS A MISTAKE\"" I"
10/17/2020 0:08,BBCNEWS,7,BBCNEWS_20201017_000000_BBC_News/start/480,m. . BEII NEWS
10/17/2020 0:09,CNNW,4,CNNW_20201017_000000_Anderson_Cooper_360/start/540,RUDY GIULIANI'S DAUGHTER ENDORSES BIDEN. . Caroline Rose Giuliani Filmmaker
10/17/2020 0:09,MSNBCW,10,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/540,"BELLIN HEALTH. I DR' PAUL CASEY MEDICALDIRECTOR,EMERGENCYDEPARTMENT"
10/17/2020 0:10,CNNW,9,CNNW_20201017_000000_Anderson_Cooper_360/start/600,RUDY GIULIANI'S DAUGHTER ENDORSES BIDEN
10/17/2020 0:10,MSNBCW,5,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/600,I U.S. DAILY CORONAVIRUS CASES HIT HIGHEST LEVEL SINCE JULY I
10/17/2020 0:11,CNNW,10,CNNW_20201017_000000_Anderson_Cooper_360/start/660,RUDY GIULIANI'S DAUGHTER ENDORSES BIDEN\nRUDY GIULIANI'S DAUGHTER ENDORSES BIDEN. . Caroline Rose Giuliani Filmmaker
10/17/2020 0:12,CNNW,6,CNNW_20201017_000000_Anderson_Cooper_360/start/720,RUDY GIULIANI'S DAUGHTER ENDORSES BIDEN
10/17/2020 0:12,MSNBCW,7,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/720,"I U.S. DAILY CORONAVIRUS CASES HIT HIGHEST LEVEL SINCE JULY I\nBELLIN HEALTH. I DR' PAUL CASEY MEDICALDIRECTOR,EMERGENCYDEPARTMENT"
10/17/2020 0:13,MSNBCW,8,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/780,I U.S. DAILY CORONAVIRUS CASES HIT HIGHEST LEVEL SINCE JULY '
10/17/2020 0:14,BBCNEWS,5,BBCNEWS_20201017_000000_BBC_News/start/840,Paris knife attack. Police spokesman: Vic\ufb01m was a middle school teacher
10/17/2020 0:14,MSNBCW,12,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/840,I UTAH SETS NEW RECORD FOR COVID HOSPITALIZATIONS '
10/17/2020 0:15,BBCNEWS,9,BBCNEWS_20201017_000000_BBC_News/start/900,ninimu. m
10/17/2020 0:15,CNNW,5,CNNW_20201017_000000_Anderson_Cooper_360/start/900,\u00a92O19 ALLERGAN. ALL RIGHTS RESERVED. ALL TRADEMARKS ARE THE PROPERTY OF THEIR RESPECTIVE OWNERS. 3O127331 O8/
10/17/2020 0:15,FOXNEWSW,5,FOXNEWSW_20201017_000000_Tucker_Carlson_Tonight/start/900,DUELING TRUMP. BIDEN TOWN HALLS. . PRESIDENT FACED MUCH TOUGHER QUESTIONS AT HIS NBC EVENT
10/17/2020 0:15,MSNBCW,5,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/900,I U.S. DAILY CORONAVIRUS CASES HIT HIGHEST LEVEL SINCE JULY '
10/17/2020 0:16,FOXNEWSW,8,FOXNEWSW_20201017_000000_Tucker_Carlson_Tonight/start/960,MEDIA ANALYST STEVE KRAKAUER: BIDEN WAS GENTLY. . NUDGED TOWARD HIS PREDETERMINED TALKING POINTS
10/17/2020 0:17,FOXNEWSW,5,FOXNEWSW_20201017_000000_Tucker_Carlson_Tonight/start/1020,TRUMP PEPPERED WITH TOUGH QUESTIONS AT TOWN HALL
10/17/2020 0:17,MSNBCW,11,MSNBCW_20201017_000000_All_In_With_Chris_Hayes/start/1020,I UTAH SETS NEW RECORD FOR COVID HOSPITALIZATIONS '
10/17/2020 0:18,CNNW,8,CNNW_20201017_000000_Anderson_Cooper_360/start/1080,TRUMP AVOIDS DENOUNCING QANON
10/17/2020 0:19,BBCNEWS,7,BBCNEWS_20201017_000000_BBC_News/start/1140,Disney racism warning. Disneyv strengthens content advisory notice for racism
